date,open,high,low,close,volume
2025-06-02,408.88,410.0,396.73,403.4,4153688.0
2025-06-03,403.455,412.64,402.476,412.49,2737513.0
2025-06-04,411.54,415.94,410.08,413.91,1843425.0
2025-06-05,415.0,421.48,413.98,415.2,2276924.0
2025-06-06,417.54,419.645,415.28,416.92,2146908.0
2025-06-09,417.295,419.0,415.15,416.26,3034210.0
2025-06-10,416.605,419.82,414.42,416.06,2627431.0
2025-06-11,415.2,416.0432,410.42,412.84,3385416.0
2025-06-12,411.43,416.39,410.77,413.68,6313316.0
2025-06-13,392.5,399.85,383.75,391.68,10629682.0
2025-06-16,392.985,405.0,391.11,401.73,6798251.0
2025-06-17,397.275,399.67,381.8,382.68,6866253.0
2025-06-18,383.985,385.2729,377.54,377.7,4808869.0
2025-06-20,380.48,382.29,373.76,376.92,8126939.0
2025-06-23,377.59,380.21,374.24,380.12,3841754.0
2025-06-24,384.96,385.0,378.51,382.34,4797074.0
2025-06-25,383.6,388.05,382.0,387.55,3718763.0
2025-06-26,387.2,389.985,382.87,384.95,3139666.0
2025-06-27,385.44,390.31,384.405,385.83,5083803.0
2025-06-30,387.3,390.98,384.63,386.88,4645498.0
2025-07-01,385.1,392.58,381.5172,392.1,4516381.0
2025-07-02,384.64,386.88,372.73,378.47,6912202.0
2025-07-03,378.0,383.2,377.8,379.31,2863680.0
2025-07-07,378.9,382.22,375.52,376.93,3545108.0
2025-07-08,378.5,386.6011,377.18,382.24,3708199.0
2025-07-09,383.5,384.7451,370.91,373.38,4726562.0
2025-07-10,371.99,373.5,365.51,371.43,4023925.0
2025-07-11,368.0,371.15,362.7,363.35,3548721.0
2025-07-14,363.185,367.68,360.18,366.99,2898705.0
2025-07-15,367.0,368.32,363.88,364.18,2550992.0
2025-07-16,364.585,365.5524,358.71,361.77,3592883.0
2025-07-17,360.6,366.96,359.28,366.45,3340455.0
2025-07-18,367.065,367.79,364.0,365.79,2459234.0
2025-07-21,366.49,368.28,363.13,367.68,2770433.0
