date,open,high,low,close,volume
2025-06-02,188.22,190.25,187.0,189.23,3027727.0
2025-06-03,188.17,192.96,186.0,192.06,3526004.0
2025-06-04,193.0,195.66,192.05,193.08,2596847.0
2025-06-05,193.9,194.65,189.88,192.15,3096514.0
2025-06-06,194.34,196.65,192.9,196.02,2802240.0
2025-06-09,197.51,200.285,195.34,199.2,4119507.0
2025-06-10,200.77,203.47,198.02,202.62,4626322.0
2025-06-11,203.07,207.0,202.67,204.72,4491411.0
2025-06-12,203.54,205.77,202.73,205.1,3661182.0
2025-06-13,203.55,204.27,200.43,200.67,3391439.0
2025-06-16,201.95,202.39,197.4495,201.11,3143427.0
2025-06-17,199.0,200.28,195.37,195.75,2968766.0
2025-06-18,195.4,197.0,193.12,194.44,3236286.0
2025-06-20,196.53,196.6,194.22,196.39,6590936.0
2025-06-23,195.25,197.0,192.88,196.34,3943216.0
2025-06-24,197.35,198.725,195.945,197.47,2739862.0
2025-06-25,196.895,201.37,195.7,201.0,4379798.0
2025-06-26,201.98,205.61,200.6,201.46,5685505.0
2025-06-27,202.05,203.5,197.7,198.8,5619708.0
2025-06-30,198.92,200.45,196.02,197.54,4537447.0
2025-07-01,196.99,205.04,196.38,201.1,3976362.0
2025-07-02,202.18,203.3953,199.3,202.5,3503741.0
2025-07-03,203.3,204.295,202.355,203.2,1390744.0
2025-07-07,202.05,202.5,198.655,199.63,2388405.0
2025-07-08,199.18,204.61,198.98,200.68,4225610.0
2025-07-09,200.99,202.215,197.12,200.96,2050837.0
2025-07-10,201.41,208.15,200.59,205.51,3088283.0
2025-07-11,205.51,205.81,203.51,204.85,2369231.0
2025-07-14,200.0,200.06,194.89,197.75,4925428.0
2025-07-15,199.41,200.0,192.38,192.86,4522247.0
2025-07-16,193.39,194.28,191.15,193.3,2662400.0
2025-07-17,193.88,195.09,192.42,194.79,3064883.0
2025-07-18,195.66,196.195,189.08,190.05,4240600.0
2025-07-21,189.89,190.33,187.55,188.07,5898554.0
2025-07-22,186.75,196.33,185.5,189.91,7053268.0
2025-07-23,200.515,201.73,194.8103,197.89,6374511.0
2025-07-24,198.01,204.68,198.01,202.81,7411441.0
2025-07-25,203.53,206.39,202.66,205.48,5355733.0
2025-07-28,204.2,206.0375,202.23,202.94,5160223.0
2025-07-29,203.1,207.53,202.0,206.85,4973413.0
2025-07-30,206.94,207.47,203.075,203.99,5693152.0
2025-07-31,201.5,204.02,196.8,197.16,6060857.0
2025-08-01,195.33,197.16,192.26,197.09,5736723.0
2025-08-04,196.0,197.685,194.0,197.46,3176924.0
2025-08-05,197.38,200.65,196.5,199.04,4001127.0
2025-08-06,198.6,199.05,194.15,195.17,5123122.0
2025-08-07,197.1,199.08,195.55,198.49,2670142.0
2025-08-08,198.49,200.7424,197.2501,200.56,2963139.0
2025-08-11,200.84,202.2,199.16,199.76,2566302.0
2025-08-12,200.17,205.88,199.66,205.72,2830129.0
2025-08-13,206.035,209.32,206.035,209.14,3241681.0
2025-08-14,208.74,210.47,207.1623,210.22,2634524.0
2025-08-15,212.02,212.395,209.83,210.93,3210474.0
